公司代號,公司名稱,統一編號,_統一編號
104,臺銀綜合證券股份有限公司,"	28428390","_	28428390"
1240,茂生農經股份有限公司,"	18795706","_	18795706"
1242,新東陽股份有限公司,"	15319335","_	15319335"
1246,中聯油脂股份有限公司,"	89480404","_	89480404"
1256,鮮活控股股份有限公司,"	37759808","_	37759808"
1258,其祥生物科技控股有限公司,"	53028230","_	53028230"
1259,安心食品服務股份有限公司,"	23928945","_	23928945"
1260,富味鄉食品股份有限公司,"	12467902","_	12467902"
1262,綠悅控股有限公司,"	38490560","_	38490560"
1264,德麥食品股份有限公司,"	23420497","_	23420497"
1267,京華堂實業股份有限公司,"	84478111","_	84478111"
1268,漢來美食股份有限公司,"	80352343","_	80352343"
1269,乾杯股份有限公司,"	70443909","_	70443909"
1271,晨暉生物科技股份有限公司,"	28708250","_	28708250"
1293,利統股份有限公司,"	89955491","_	89955491"
1301,台灣塑膠工業股份有限公司,"	75708007","_	75708007"
1303,南亞塑膠工業股份有限公司,"	75370905","_	75370905"
1304,台灣聚合化學品股份有限公司,"	11917107","_	11917107"
1305,華夏海灣塑膠股份有限公司,"	11686106","_	11686106"
1307,三芳化學工業股份有限公司,"	83387850","_	83387850"
1308,亞洲聚合股份有限公司,"	20747385","_	20747385"
1309,台達化學工業股份有限公司,"	11893409","_	11893409"
1310,台灣苯乙烯工業股份有限公司,"	20844865","_	20844865"
1312,國喬石油化學股份有限公司,"	04212250","_	04212250"
1313,聯成化學科技股份有限公司,"	04748660","_	04748660"
1314,中國石油化學工業開發股份有限公司,"	03084741","_	03084741"
1315,達新工業股份有限公司,"	51059101","_	51059101"
1316,上曜建設開發股份有限公司,"	73654033","_	73654033"
1319,東陽實業廠股份有限公司,"	68326665","_	68326665"
1321,大洋塑膠工業股份有限公司,"	15024509","_	15024509"
1323,永裕塑膠工業股份有限公司,"	68192103","_	68192103"
1324,地球綜合工業股份有限公司,"	07147916","_	07147916"
1325,恒大股份有限公司,"	11455800","_	11455800"
1326,台灣化學纖維股份有限公司,"	58650902","_	58650902"
1328,台灣中油股份有限公司,"	03707901","_	03707901"
1333,恩得利工業股份有限公司,"	84584513","_	84584513"
1336,台翰精密科技股份有限公司,"	22589593","_	22589593"
1337,亞洲塑膠再生資源控股股份有限公司,"	26068617","_	26068617"
1338,廣華控股有限公司,"	26594386","_	26594386"
1339,昭輝實業股份有限公司,"	22078327","_	22078327"
1340,勝悅新材料股份有限公司,"	37722768","_	37722768"
1341,富林塑膠工業控股股份有限公司,"	82716171","_	82716171"
1342,八貫企業股份有限公司,"	12386676","_	12386676"
